Gene_combination	cell_line	condition	Class_label_sum	Correlation_dep	Class_label_dep	Label_Agreement	Correlation_corr	Class_label_corr	Class_label_exp
TRAF2_TRAF4	A375	2CP	no GI	-0.0162828841264989	no GI	Agree	0.2970114258479457	no GI	no GI
TRAF2_TRAF5	A375	2CP	no GI	0.0899304012604697	no GI	Agree	0.0202020971432361	no GI	no GI
TRAF2_TRAF5	A375	2CP	no GI	0.0899304012604697	no GI	Agree	0.0202020971432361	no GI	no GI
TRAF3_TRAF5	A375	2CP	no GI	0.0444845160028695	no GI	Agree	0.0715002602267685	no GI	no GI
TRAF3_TRAF5	A375	2CP	no GI	0.0444845160028695	no GI	Agree	0.0715002602267685	no GI	no GI
TRAK1_TRAK2	A375	2CP	no GI	-0.1145921391935141	no GI	Agree	0.1591449536137386	no GI	GI
TRAK1_TRAK2	A375	2CP	no GI	-0.1145921391935141	no GI	Agree	0.1591449536137386	no GI	GI
TRAM1_TRAM2	A375	2CP	no GI	0.0738040046061881	no GI	Agree	0.4241684398367358	no GI	no GI
TRAM1_TRAM2	A375	2CP	no GI	0.0738040046061881	no GI	Agree	0.4241684398367358	no GI	no GI
TRAPPC6A_TRAPPC6B	A375	2CP	no GI	0.0294394457036631	no GI	Agree	-0.0230602838956791	no GI	no GI
TRAPPC6A_TRAPPC6B	A375	2CP	no GI	0.0294394457036631	no GI	Agree	-0.0230602838956791	no GI	no GI
TRIB1_TRIB2	A375	2CP	no GI	0.0042624704805886	no GI	Agree	-0.002492032383315	no GI	GI
TRIB1_TRIB2	A375	2CP	no GI	0.0042624704805886	no GI	Agree	-0.002492032383315	no GI	GI
TRIB1_TRIB3	A375	2CP	no GI	0.0023681754297907	no GI	Agree	0.1395070011601928	no GI	no GI
TRIB1_TRIB3	A375	2CP	no GI	0.0023681754297907	no GI	Agree	0.1395070011601928	no GI	no GI
TRIB2_TRIB3	A375	2CP	no GI	-0.0018716744516178	no GI	Agree	-0.1061761929816794	no GI	no GI
TRIB2_TRIB3	A375	2CP	no GI	-0.0018716744516178	no GI	Agree	-0.1061761929816794	no GI	no GI
TRIM11_TRIM21	A375	2CP	no GI	0.0465594125414832	no GI	Agree	-0.020722980179895	no GI	no GI
