	cell_line	condition	clone_id_test	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label
49	A375	2CP	GDI1_GDI2_1	-2.267735859122867	0.7788596911111432	-0.2704679961128289	6.6153005664	7.079013675	GI
50	A375	2CP	GDI1_GDI2_2	-0.7333944973337978	-0.2704679961128289	0.7788596911111432	7.079013675	6.6153005664	GI
51	A375	2CP	HDAC1_HDAC2_1	-4.648230648308827	0.6212235739496303	-0.7080811302821173	7.1257540196	6.7777147753	GI
52	A375	2CP	HDAC1_HDAC2_2	-3.2734001985256342	-0.7080811302821173	0.6212235739496303	6.7777147753	7.1257540196	GI
53	A375	2CP	KPNA3_KPNA4_1	-2.9329714636824162	-0.340748843909098	0.4688920634620424	4.98207437	5.1220332575	GI
54	A375	2CP	KPNA3_KPNA4_2	-0.7705899637182836	0.4688920634620424	-0.340748843909098	5.1220332575	4.98207437	GI
55	A375	2CP	GNPDA1_GNPDA2_1	-0.8002052120604395	-0.7819845218270731	-0.7467667086929453	6.0010071535	3.6722808815	GI
56	A375	2CP	GNPDA1_GNPDA2_2	1.0111221790591336	-0.7467667086929453	-0.7819845218270731	3.6722808815	6.0010071535	GI
57	A375	2CP	MRFAP1_MRFAP1L1_1	-1.4106772086566677	0.02965130726179166	0.3205346795837134	8.204914171	5.9454688984	GI
58	A375	2CP	MRFAP1_MRFAP1L1_2	-1.3375892366262891	0.3205346795837134	0.02965130726179166	5.9454688984	8.204914171	GI
59	A375	2CP	TNPO1_TNPO2_1	-3.212828893157507	-5.063020834647432	-1.0879281213334937	6.3466977472	6.1379992112	GI
60	A375	2CP	TNPO1_TNPO2_2	-4.6465982742197545	-1.0879281213334937	-5.063020834647432	6.1379992112	6.3466977472	GI
61	A375	2CP	PBX1_PBX3_1	-0.4722691856593748	1.001071346016916	0.34455658122607224	1.4334609305	3.3801244833	GI
