Unnamed: 0	cell_line	condition	Gene_combination	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label_sum	dep_Correlation	Euclidean_distance_dep	Gene1_dep_score	Gene2_dap_score	expre_Correlation	Euclidean_distance_expresstion	Gene1_expression	Gene2_expression	Euclidean_distance_dm	Gene1_damage_mutation	Gene2_damage_mutation
5971	Meljuso	2CP sel	MTA1_MTA3	0.2204034041614579	0.3557906197855383	-0.562259720429378	4.1748869111	3.6535612986	no GI	0.015276571547993518	0.1678693811531547	-0.1410561548925642	0.0268132262605905	0.1962382435168184	0.5213256125399202	4.174886911095867	3.653561298555947	0.0	0.0	0.0
5972	Meljuso	2CP sel	MTA2_MTA3	0.214386349931547	0.1259362953940552	-0.562259720429378	5.6412872557	3.6535612986	no GI	0.04342333572686308	0.3729099741396029	-0.3460967478790124	0.0268132262605905	0.12541363259574467	1.9877259571821	5.641287255738047	3.653561298555947	0.0	0.0	0.0
5973	Meljuso	2CP sel	MTARC1_MTARC2	0.0779617681337836	0.138841855495881	0.2865129976296809	-0.0826738022	-0.0297142836	no GI	0.21595204629499515	0.03441822613989749	-0.1417964312441942	-0.1073782051042967	0.5071664332828567	0.0529595185839018	-0.0826738022130413	-0.0297142836291395	0.0	0.0	0.0
5974	Meljuso	2CP sel	MTCH1_MTCH2	-1.83641185562778	-0.1181036648907947	-1.3825002441643703	6.8410018441	6.9540710502	no GI	0.08480645608434814	0.8972156163099279	0.0749732113891765	-0.8222424049207514	0.3755548549563743	0.11306920609972337	6.841001844070727	6.954071050170451	0.0	0.0	0.0
5975	Meljuso	2CP sel	MTF2_PHF1	-0.5472427976303109	0.2166524132364746	-0.8335998878770983	3.8809416802	4.7674115868	no GI	0.13173682008486098	0.15440088576114291	-0.1885535805382306	-0.0341526947770877	0.09468307651147354	0.8864699065619304	3.880941680205293	4.767411586767223	0.0	0.0	0.0
5976	Meljuso	2CP sel	MTF2_PHF19	0.5039288618312583	0.2166524132364746	-0.077201074383409	3.8809416802	7.1023260889	no GI	0.09046439323888063	0.2434337927122221	-0.1885535805382306	0.0548802121739915	0.21554433243470777	3.2213844086729386	3.880941680205293	7.102326088878232	0.0	0.0	0.0
5977	Meljuso	2CP sel	MTHFD1_MTHFD1L	-0.8532367937443803	-1.3036996222763966	-1.0996945894694592	6.6826424967	4.9994826309	GI	0.13341207531731397	0.28437318984241	-0.4035260626255231	-0.1191528727831131	0.1720207908464948	1.683159865774992	6.682642496678836	4.999482630903844	0.0	0.0	0.0
5978	Meljuso	2CP sel	MTHFD2_MTHFD2L	-0.1594202052631543	-0.5735236938967918	-0.200377553645269	6.4568325463	2.4089738135	no GI	-0.03777890135979436	0.021069542409322795	-0.1631242948843808	-0.142054752475058	0.23640269207661688	4.0478587327726805	6.456832546272353	2.4089738134996725	0.0	0.0	0.0
5979	Meljuso	2CP sel	MTM1_MTMR1	-1.1991849910110024	-0.8703619673806309	-0.4420412772125444	2.3571210589	3.3638611528	no GI	0.07574456385237914	0.19397436271941462	0.2930439496466488	0.0990695869272342	0.37757723000904575	1.006740093901124	2.357121058940044	3.363861152841168	0.0	0.0	0.0
5980	Meljuso	2CP sel	MTM1_MTMR2	-1.265890022103354	-0.8703619673806309	-0.7449083739500666	2.3571210589	4.5696655577	no GI	0.06375050497691029	0.09180908628011542	0.2930439496466488	0.2012348633665334	0.10305347052597792	2.2125444987879	2.357121058940044	4.569665557727944	0.0	0.0	0.0
