	cell_line	condition	Gene_combination	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label
6445	Meljuso	2CP sel	RAB30_RAB43	0.04213027986799478	-0.053782328482472996	0.36759538560213034	1.1014448152	3.4246197808	no GI
6446	Meljuso	2CP sel	RAB30_RAB7A	-1.921373094031538	-0.053782328482472996	-2.4496016369503923	1.1014448152	8.6382287004	no GI
6447	Meljuso	2CP sel	RAB30_RAB9A	0.19450193754336942	-0.053782328482472996	-0.685049087513069	1.1014448152	4.5397285271	no GI
6448	Meljuso	2CP sel	RAB32_RAB43	0.5003065188724043	-0.34166521036125475	0.36759538560213034	6.7085162951	3.4246197808	no GI
6449	Meljuso	2CP sel	RAB32_RAB7A	0.09622429826289558	-0.34166521036125475	-2.4496016369503923	6.7085162951	8.6382287004	no GI
6450	Meljuso	2CP sel	RAB32_RAB9A	0.03575230777051108	-0.34166521036125475	-0.685049087513069	6.7085162951	4.5397285271	no GI
6451	Meljuso	2CP sel	RAB33B_RAB35	0.49480240307879697	-1.0571182369659535	1.7139229517252992	1.9674627719	5.298206879	no GI
6452	Meljuso	2CP sel	RAB33B_RAB3D	-0.750018834111184	-1.0571182369659535	-0.30598856283421805	1.9674627719	0.960379203	no GI
6453	Meljuso	2CP sel	RAB33B_RAB43	-0.18457364979894608	-1.0571182369659535	0.36759538560213034	1.9674627719	3.4246197808	no GI
6454	Meljuso	2CP sel	RAB33B_RAB7A	-2.5525840996164706	-1.0571182369659535	-2.4496016369503923	1.9674627719	8.6382287004	no GI
6455	Meljuso	2CP sel	RAB33B_RAB9A	-0.6694210631306177	-1.0571182369659535	-0.685049087513069	1.9674627719	4.5397285271	GI
6456	Meljuso	2CP sel	RAB35_RAB3D	0.9572830072126568	1.7139229517252992	-0.30598856283421805	5.298206879	0.960379203	no GI
6457	Meljuso	2CP sel	RAB35_RAB43	1.2619577787363618	1.7139229517252992	0.36759538560213034	5.298206879	3.4246197808	no GI
6458	Meljuso	2CP sel	RAB3D_RAB43	-0.37163651013259624	0.36759538560213034	-0.30598856283421805	3.4246197808	0.960379203	no GI
6459	Meljuso	2CP sel	RAB40B_RAB40C	0.6052267271500709	0.4253275069699729	0.18956624746512318	2.1808118928	2.7633427153	no GI
6460	Meljuso	2CP sel	RAB43_RAB9A	0.09858542609769749	0.36759538560213034	-0.685049087513069	3.4246197808	4.5397285271	no GI
6461	Meljuso	2CP sel	RAB4A_RAB4B	1.080284130894487	-0.6936612802688522	1.2185444705927686	4.0378522585	4.3401100829	no GI
6462	Meljuso	2CP sel	RAB5A_RAB5B	0.26172890320041664	-0.36068764496796657	0.1619437587133652	5.3545662842	5.2834662252	no GI
6463	Meljuso	2CP sel	RAB5A_RAB5C	-0.7183692095955287	-0.36068764496796657	-0.039597154932491385	5.3545662842	7.7655208812	no GI
6464	Meljuso	2CP sel	RAB5B_RAB5C	0.08222804400232264	0.1619437587133652	-0.039597154932491385	5.2834662252	7.7655208812	no GI
6465	Meljuso	2CP sel	RAB6A_RAB6B	-1.4498907610610425	0.30831094685337956	-0.10136546918564981	5.0867811606	4.0490204348	GI
6466	Meljuso	2CP sel	RAB7A_RAB9A	-2.249714071049812	-0.685049087513069	-2.4496016369503923	4.5397285271	8.6382287004	GI
6467	Meljuso	2CP sel	RAB8A_RAB8B	-0.902160247430452	-0.6253665012013305	-1.4981133290467095	5.6933451314	4.1295715121	GI
6468	Meljuso	2CP sel	RABEP1_RABEP2	0.33286573278067766	0.03898509708010889	-0.33779230060860765	4.5775104242	3.4057111435	no GI
6469	Meljuso	2CP sel	RABGAP1_RABGAP1L	-0.3105953527988343	-0.2204059389454791	-0.07436247991836509	3.4682271714	2.6280033935	no GI
6470	Meljuso	2CP sel	RABL2A_RABL2B	-0.877907924335209	-0.3301758377716433	-0.6967105607545399	2.34590987	3.5177356414	no GI
6471	Meljuso	2CP sel	RAC1_RAC2	-3.5842462201242435	-3.8721824456475384	0.471276554788403	8.3014120639	0.4069988964	no GI
6472	Meljuso	2CP sel	RAC1_RAC3	-3.137604395921513	-3.8721824456475384	0.0987854313508425	8.3014120639	2.3300473927	no GI
6473	Meljuso	2CP sel	RAC2_RAC3	0.8204269008247878	0.471276554788403	0.0987854313508425	0.4069988964	2.3300473927	no GI
6474	Meljuso	2CP sel	RAD23A_RAD23B	-1.1715214645661676	-0.8635283117863639	-0.8136095930983589	6.7268466236	7.1020997778	no GI
6475	Meljuso	2CP sel	RAD54B_RAD54L	-0.7635336060916327	-0.5389860113347562	-0.7915993167122888	3.1683974955	4.4323908883	no GI
6476	Meljuso	2CP sel	RALA_RALB	-0.31602744770739677	0.33564369822104867	0.5855804528801476	5.3729038537	5.9130906285	GI
6477	Meljuso	2CP sel	RALGAPA1_RALGAPA2	-0.14190135394679215	0.3456285695918977	-0.8773405195221833	2.4894876167	1.931155605	no GI
6478	Meljuso	2CP sel	RALGDS_RGL2	0.6327714229394841	0.46497298547503507	-0.716287991068635	3.8235825194	3.8275864049	no GI
6479	Meljuso	2CP sel	RALGDS_RGL3	1.0740057310245106	0.46497298547503507	0.0052571995800017035	3.8235825194	1.6924722817	no GI
6480	Meljuso	2CP sel	RALGPS1_RALGPS2	-1.640088156432811	-1.2050964199239151	-0.5950515751217942	1.3848988903	2.5783610224	no GI
